 Mach Number             (X)cp - Rocket          (X)cp - Nose/Body       (X)cp - Wing            (X)cp - Body-Wing      
 6.12800000000000E-0001  3.54501447241364E+0002  6.99601092496775E+0001  4.21719736071380E+0002  4.19986048954786E+0002 
 6.20460000000000E-0001  3.54518492703018E+0002  7.00183071251228E+0001  4.21713504078786E+0002  4.19976006160805E+0002 
 6.28120000000000E-0001  3.54529131892066E+0002  7.00862036592414E+0001  4.21707076152569E+0002  4.19965682993703E+0002 
 6.35780000000000E-0001  3.54533710685356E+0002  7.01637217721570E+0001  4.21700444149302E+0002  4.19955069284013E+0002 
 6.43440000000000E-0001  3.54532581328358E+0002  7.02508018165962E+0001  4.21693599418212E+0002  4.19944154271650E+0002 
 6.51100000000000E-0001  3.54526101721631E+0002  7.03474007171823E+0001  4.21686532759678E+0002  4.19932926559953E+0002 
 6.58760000000000E-0001  3.54514634708353E+0002  7.04534910615285E+0001  4.21679234379379E+0002  4.19921374065067E+0002 
 6.66420000000000E-0001  3.54498547363842E+0002  7.05690601506701E+0001  4.21671693837563E+0002  4.19909483960088E+0002 
 6.74080000000000E-0001  3.54478210287812E+0002  7.06941090161879E+0001  4.21663899992781E+0002  4.19897242613307E+0002 
 6.81740000000000E-0001  3.54453996900010E+0002  7.08286514111164E+0001  4.21655840939338E+0002  4.19884635519772E+0002 
 6.89400000000000E-0001  3.54426282739659E+0002  7.09727127814229E+0001  4.21647503937625E+0002  4.19871647225265E+0002 
 6.97060000000000E-0001  3.54395444768969E+0002  7.11263292244796E+0001  4.21638875336292E+0002  4.19858261241657E+0002 
 7.04720000000000E-0001  3.54361860680762E+0002  7.12895464405556E+0001  4.21629940485130E+0002  4.19844459952420E+0002 
 7.12380000000000E-0001  3.54325908210004E+0002  7.14624186829195E+0001  4.21620683637247E+0002  4.19830224506870E+0002 
 7.20040000000000E-0001  3.54287964448774E+0002  7.16450077116955E+0001  4.21611087838953E+0002  4.19815534701468E+0002 
 7.27700000000000E-0001  3.54248405163873E+0002  7.18373817561368E+0001  4.21601134805411E+0002  4.19800368846190E+0002 
 7.35360000000000E-0001  3.54207604115922E+0002  7.20396144895077E+0001  4.21590804779788E+0002  4.19784703613636E+0002 
 7.43020000000000E-0001  3.54165932378346E+0002  7.22517840202778E+0001  4.21580076373204E+0002  4.19768513868082E+0002 
 7.50680000000000E-0001  3.54123757654156E+0002  7.24739719028524E+0001  4.21568926382196E+0002  4.19751772471123E+0002 
 7.58340000000000E-0001  3.54081443587805E+0002  7.27062621705929E+0001  4.21557329579802E+0002  4.19734450059913E+0002 
 7.66000000000000E-0001  3.54039349068669E+0002  7.29487403934173E+0001  4.21545258475497E+0002  4.19716514793132E+0002 
